ibge_code,ibge_name,uf,prefeitura_url,camara_url
4312179,Mato Queimado,RS,https://matoqueimado-rs.com.br,
4312203,Maximiliano de Almeida,RS,https://maximilianodealmeida.rs.gov.br/,
4312252,Minas do Leão,RS,https://minasdoleao.rs.gov.br,https://camaraminasdoleao.rs.gov.br/
4312302,Miraguaí,RS,https://miraguai.rs.gov.br,https://miraguai.rs.leg.br/
4312351,Montauri,RS,http://www.montauri.rs.gov.br,http://www.camara.sp.gov.br/
4312377,Monte Alegre dos Campos,RS,https://montealegredoscampos.rs.gov.br,https://www.camaramontealegredoscampos.rs.gov.br/
4312385,Monte Belo do Sul,RS,https://montebelodosul.rs.gov.br/,https://montebelodosul.rs.leg.br/
4312401,Montenegro,RS,https://montenegro.rs.gov.br/,http://www.montenegro.rs.leg.br/
4312427,Mormaço,RS,https://mormaco.rs.gov.br,http://camaramormaco.com.br/
4312443,Morrinhos do Sul,RS,https://morrinhosdosul.rs.gov.br,http://morrinhosdosul.rs.leg.br/
4312450,Morro Redondo,RS,https://morroredondo.rs.gov.br/,https://camaramorroredondo.rs.gov.br/
4312476,Morro Reuter,RS,http://www.morroreuter.rs.gov.br,https://www.camaramorroreuter.rs.gov.br/
4312500,Mostardas,RS,http://mostardas.rs.gov.br,http://mostardas.rs.leg.br/
4312609,Muçum,RS,https://mucum.rs.gov.br/,https://camaramucum.rs.gov.br/
4312617,Muitos Capões,RS,http://www.muitoscapoes.rs.gov.br,http://www.camaramuitoscapoes.rs.gov.br/
4312625,Muliterno,RS,https://muliterno.rs.gov.br,
4312658,Não-Me-Toque,RS,http://naometoque.rs.gov.br,https://www.camaranmt.rs.gov.br/
4312674,Nicolau Vergueiro,RS,https://nicolauvergueiro.rs.gov.br,
4312708,Nonoai,RS,https://nonoai.rs.gov.br,http://www.camaranonoai.rs.gov.br/
4312757,Nova Alvorada,RS,http://novaalvorada.rs.gov.br,https://novaalvorada.rs.leg.br/
4312807,Nova Araçá,RS,http://novaaraca.rs.gov.br,https://novaaraca.rs.leg.br/
4312906,Nova Bassano,RS,http://novabassano.rs.gov.br,https://novabassano.rs.leg.br/
4312955,Nova Boa Vista,RS,http://novaboavista.rs.gov.br,http://www.camaranovaboavista.rs.gov.br/
4313003,Nova Bréscia,RS,https://novabrescia.rs.gov.br,https://www.novabrescia.rs.leg.br/
4313011,Nova Candelária,RS,http://novacandelaria.rs.gov.br,https://www.novacandelaria.rs.gov.br/site/noticias/geral/17533-camara-municipal-de-vereadores
4313037,Nova Esperança do Sul,RS,http://novaesperancadosul.rs.gov.br,https://novaesperancadosul.rs.leg.br/
4313060,Nova Hartz,RS,http://novahartz.rs.gov.br,https://www.camaranovahartz.rs.gov.br/
4313086,Nova Pádua,RS,http://novapadua.rs.gov.br,http://www.camaranovapadua.rs.gov.br/
4313102,Nova Palma,RS,https://novapalma.rs.gov.br,https://camaranovapalma.rs.gov.br/
4313201,Nova Petrópolis,RS,https://novapetropolis.rs.gov.br,http://www.camaranovapetropolis.com.br/
4313300,Nova Prata,RS,https://novaprata.rs.gov.br,http://www.camaranovaprata.rs.gov.br/
4313334,Nova Ramada,RS,https://novaramada.rs.gov.br,https://www.camaranovaramada.rs.gov.br/
4313359,Nova Roma do Sul,RS,http://novaromadosul.rs.gov.br,https://novaromadosul.rs.leg.br/
4313375,Nova Santa Rita,RS,https://www.cmnovasantarita.rs.gov.br/,https://novasantarita.rs.leg.br/
4313391,Novo Cabrais,RS,https://novocabrais.rs.gov.br,https://novocabrais.rs.leg.br/
4313409,Novo Hamburgo,RS,http://novohamburgo.rs.gov.br,https://portal.camaranh.rs.gov.br/pm3
4313425,Novo Machado,RS,http://novomachado.rs.gov.br,
4313441,Novo Tiradentes,RS,https://novotiradentesrs.com.br,https://camaranovotiradentes.rs.gov.br/
4313466,Novo Xingu,RS,https://novoxingu.rs.gov.br,https://novoxingu.rs.leg.br/
4313490,Novo Barreiro,RS,https://novobarreiro.rs.gov.br,http://camaranovobarreiro.rs.gov.br/
4313508,Osório,RS,,https://www.camaraosorio.rs.gov.br/
4313607,Paim Filho,RS,https://paimfilho.rs.gov.br,http://camarapaimfilho.rs.gov.br/
4313656,Palmares do Sul,RS,http://palmaresdosul.rs.gov.br,https://www.camarapalmaresdosul.rs.gov.br/
4313706,Palmeira das Missões,RS,https://palmeiradasmissoes.atende.net,http://www.camarapalmeiradasmissoes.rs.gov.br/index.php/contato
4313805,Palmitinho,RS,https://palmitinho.atende.net,https://palmitinho.rs.leg.br/
4313904,Panambi,RS,http://www.panambi.rs.gov.br,https://www.camarapanambi.rs.gov.br/
4313953,Pantano Grande,RS,http://pantanogrande.rs.gov.br,http://www.camarapantanogrande.rs.gov.br/
4314001,Paraí,RS,https://parai.rs.gov.br,
4314027,Paraíso do Sul,RS,http://paraisodosul.rs.gov.br,https://paraisodosul.rs.leg.br/
4314035,Pareci Novo,RS,https://parecinovo.rs.gov.br,https://parecinovo.rs.leg.br/
